﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4l2hnfUx0esSbITQa7iJt0","A Little Less Conversation - JXL Radio Edit Remix","Elvis Presley, JXL","Elvis 75 - Good Rockin' Tonight","4","19","211173","spotify:user:gianvitot","2018-10-03T13:59:34Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","Blur","Blur [Special Edition]","1","2","121160","spotify:user:gianvitot","2018-10-03T13:59:57Z"
"spotify:track:244AvzGQ4Ksa5637JQu5Gy","You've Got The Love","Florence + The Machine","Lungs (Deluxe Version)","1","13","168666","spotify:user:gianvitot","2018-10-04T09:40:45Z"
"spotify:track:2fAIfPLrPUTW1AmJRR428Q","Ruby","Kaiser Chiefs","Yours Truly, Angry Mob","1","1","204200","spotify:user:gianvitot","2018-10-04T09:40:57Z"
"spotify:track:3hfM7GfK9J0UqRS4VEyugl","Brielle","Sky Sailing","An Airplane Carried Me To Bed","1","2","246146","spotify:user:gianvitot","2018-10-06T15:10:51Z"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","Vance Joy","Dream Your Life Away","1","4","204280","spotify:user:gianvitot","2018-10-06T15:11:55Z"
"spotify:track:75JFxkI2RXiU7L9VXzMkle","The Scientist","Coldplay","A Rush of Blood to the Head","1","4","309600","spotify:user:gianvitot","2018-10-09T15:40:55Z"
"spotify:track:4b2tcjrG1qUkSdsqEFP2dB","Sun Is Shining","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","More Than You Know","1","7","254653","spotify:user:gianvitot","2018-10-11T08:58:16Z"
"spotify:track:6DDoFN7yNQmL2YXojqAk8S","L.I.F.E.G.O.E.S.O.N.","Noah And The Whale","Last Night On Earth","1","3","226946","spotify:user:gianvitot","2018-10-11T09:52:16Z"
"spotify:track:6si71supnBUhddjR2FJc2L","White Flag","Dido","Life For Rent","1","1","240040","spotify:user:gianvitot","2018-10-11T09:52:29Z"
"spotify:track:58zsLZPvfflaiIbNWoA22O","Human","Rag'n'Bone Man","Human (Deluxe)","1","1","200186","spotify:user:gianvitot","2018-10-11T14:19:07Z"
"spotify:track:3dYD57lRAUcMHufyqn9GcI","Take Me To Church","Hozier","Hozier","1","1","241688","spotify:user:gianvitot","2018-10-11T14:19:31Z"
"spotify:track:4eS9g2FLy8qDN7j4txFK0S","Out Of Reach","Gabrielle","Now And Always: 20 Years Of Dreaming","1","11","197867","spotify:user:gianvitot","2018-10-11T15:10:49Z"
"spotify:track:45210TcDhU3Jh34lzOd1P6","We Believe","Good Charlotte","Greatest Hits","1","12","231786","spotify:user:gianvitot","2018-10-12T14:35:22Z"
"spotify:track:10rChmECwPcvTTj4w07hq4","Welcome to My Life","Simple Plan","Still Not Getting Any","1","2","206773","spotify:user:gianvitot","2018-10-12T14:36:44Z"
"spotify:track:0fYVliAYKHuPmECRs1pbRf","Renegades","X Ambassadors","VHS","1","2","195200","spotify:user:gianvitot","2018-10-12T14:37:20Z"
"spotify:track:2PzU4IB8Dr6mxV3lHuaG34","(I Can't Get No) Satisfaction - Mono Version","The Rolling Stones","Out Of Our Heads","1","7","222813","spotify:user:gianvitot","2018-10-14T10:19:45Z"
"spotify:track:5p3JunprHCxClJjOmcLV8G","Walk On the Wild Side","Lou Reed","Transformer","1","5","254173","spotify:user:gianvitot","2018-10-14T10:21:51Z"
"spotify:track:4UPyr3Tep8idtAmisAu1qs","Occidentali's Karma - Radio Edit","Francesco Gabbani","Occidentali's Karma","1","1","217625","spotify:user:gianvitot","2018-10-17T07:47:19Z"
"spotify:track:40riOy7x9W7GXjyGp4pjAv","Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","1","1","391376","spotify:user:gianvitot","2018-10-17T07:48:16Z"
"spotify:track:17ahSrFGTLNAEAquP1P88n","Goodbye Kiss","Kasabian","Velociraptor!","1","3","243960","spotify:user:gianvitot","2018-10-17T07:49:10Z"
"spotify:track:3ZGwnXKbrQQIQXw7sHa9GS","Heaven","Emeli Sandé","Heaven","1","1","252832","spotify:user:gianvitot","2018-10-17T07:55:56Z"
"spotify:track:3zrVeqzfYBW7uHQCNgOMOV","Orchestra","The Servant","Orchestra","1","1","212226","spotify:user:gianvitot","2018-10-17T08:06:06Z"
"spotify:track:22NgXItkvlsvoIxUg8om07","Occhi da orientale","Daniele Silvestri","Monetine","2","3","233466","spotify:user:gianvitot","2018-10-17T08:06:18Z"
"spotify:track:5BTBBUwbXB7AVTUd5maNee","Ti lascerò","Anna Oxa, Fausto Leali","I Grandi Successi","3","4","240933","spotify:user:gianvitot","2018-10-17T10:44:16Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","The Fray","How To Save A Life","1","3","262533","spotify:user:gianvitot","2018-10-19T07:57:00Z"
"spotify:track:5vfSqlXgfTtKLn3OWoAVnn","Unforgettable (Duet with Nat King Cole)","Natalie Cole","Unforgettable: With Love","1","22","211586","spotify:user:gianvitot","2018-10-20T18:00:14Z"
"spotify:track:0xYkr8xRLT8vbFA1yrSYO1","Rotolando Verso Sud","Negrita","L'Uomo Sogna Di Volare","1","6","285760","spotify:user:gianvitot","2018-11-02T08:40:51Z"
"spotify:track:6amk3asEUvijfCf6gMGaYy","Lo strano percorso","Max Pezzali","Il mondo insieme a te","1","2","250960","spotify:user:gianvitot","2018-11-02T08:41:08Z"
"spotify:track:0q9GZ7xKL0Hs3sa6jKjCFd","Il Sole","Cesare Cremonini","La Teoria Dei Colori","1","11","281653","spotify:user:gianvitot","2018-11-02T08:42:00Z"
"spotify:track:0STK94RxUulYqWzwFlyAb5","Sober","Demi Lovato","Sober","1","1","197893","spotify:user:gianvitot","2018-11-04T14:40:58Z"
"spotify:track:7iu0WYLdo4yksKf3seaxzI","Hate That I Love You","Rihanna, Ne-Yo","Good Girl Gone Bad: Reloaded","1","6","218946","spotify:user:gianvitot","2018-11-11T16:09:06Z"
"spotify:track:5aJhuze13LOoLthmiG8YIA","When The Beat Drops Out","Marlon Roudette","Electric Soul","1","3","204026","spotify:user:gianvitot","2018-11-11T16:09:27Z"
"spotify:track:3Q9FA2LP9Abih9xkFeNb6U","Time to Pretend","MGMT","Time to Pretend","1","1","261000","spotify:user:gianvitot","2018-11-20T11:30:06Z"
"spotify:track:0mUyMawtxj1CJ76kn9gIZK","Bad Day","Daniel Powter","Daniel Powter (U.S. Release)","1","3","233640","spotify:user:gianvitot","2018-11-20T11:30:55Z"
"spotify:track:6gxycjJNMgmAyfzUXBN80P","Goodbye My Lover","James Blunt","Back to Bedlam","1","4","258653","spotify:user:gianvitot","2018-11-20T11:31:12Z"
"spotify:track:3wPPWcVuinAU7dXcJXtCID","La La La","Naughty Boy, Sam Smith","Hotel Cabana (Deluxe Version)","1","7","222200","spotify:user:gianvitot","2018-12-02T16:29:16Z"
"spotify:track:5TbzAWWc5eJaANpA9kfGCd","Love Me Again","John Newman","Tribute","1","2","239894","spotify:user:gianvitot","2018-12-30T11:58:33Z"
"spotify:track:3XVBdLihbNbxUwZosxcGuJ","If I Ain't Got You","Alicia Keys","The Diary Of Alicia Keys","1","6","228706","spotify:user:gianvitot","2019-01-02T21:34:10Z"
"spotify:track:0nJW01T7XtvILxQgC5J7Wh","When I Was Your Man","Bruno Mars","Unorthodox Jukebox","1","6","213826","spotify:user:gianvitot","2019-01-02T21:35:00Z"
"spotify:track:6jBUP2KCe821yqf1hiBqPR","Broken Strings","James Morrison, Nelly Furtado","Songs For You, Truths For Me (International Exclusive Bundle)","1","5","250453","spotify:user:gianvitot","2019-01-02T21:47:23Z"
"spotify:track:1uWTlK72KKpzsCHhu62OV5","Waiting All Night","Rudimental, Ella Eyre","Home (Deluxe Edition)","1","11","292586","spotify:user:gianvitot","2019-01-02T21:51:21Z"
"spotify:track:3DamFFqW32WihKkTVlwTYQ","Fireflies","Owl City","Ocean Eyes","1","9","228346","spotify:user:gianvitot","2019-01-02T21:52:04Z"
"spotify:track:6G5vNAlLT268YWSB0ZVI6J","Non abbiam bisogno di parole","Ron","Le foglie e il vento","1","1","256800","spotify:user:gianvitot","2019-01-02T21:55:09Z"
"spotify:track:1mD8SZtwdoO2RQSkNpog4G","Grande figlio di puttana","Stadio","I grandi successi","1","5","291546","spotify:user:gianvitot","2019-01-02T21:55:35Z"
"spotify:track:57iDDD9N9tTWe75x6qhStw","Bitter Sweet Symphony","The Verve","Urban Hymns (Remastered 2016)","1","1","357266","spotify:user:gianvitot","2019-01-05T19:50:59Z"
"spotify:track:5cF0dROlMOK5uNZtivgu50","Attention","Charlie Puth","Voicenotes","1","2","208786","spotify:user:gianvitot","2019-01-06T12:30:41Z"
"spotify:track:6mORGLOz79w6VsCRLWYYuK","The Night We Met","Lord Huron","Strange Trails","1","14","208211","spotify:user:gianvitot","2019-01-25T10:31:42Z"
"spotify:track:2aibwv5hGXSgw7Yru8IYTO","Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium","1","2","334666","spotify:user:gianvitot","2019-02-05T11:44:16Z"
"spotify:track:5C0LFQARavkPpn7JgA4sLk","Every Breath You Take - Remastered 2003","The Police","Synchronicity (Remastered)","1","7","253250","spotify:user:gianvitot","2019-03-06T21:37:43Z"
"spotify:track:5l91KHr9uF8wdSdtRoZba8","Wicked Game - Remastered","Chris Isaak","Best Of Chris Isaak","1","3","286880","spotify:user:gianvitot","2019-02-25T23:03:55Z"
"spotify:track:2ZudaDYcCTgqqYPV0TrNn8","Shiver","Natalie Imbruglia","Counting Down The Days","1","2","222653","spotify:user:gianvitot","2019-02-27T21:37:18Z"
"spotify:track:2GplG03rw0CN2EMLzPJZAl","Já Sei Namorar","Tribalistas","Tribalistas","1","12","196986","spotify:user:gianvitot","2019-02-27T21:40:17Z"
"spotify:track:6UxSmGD3Ys7BIpbUpSERBM","Somebody That I Used To Know","Gotye, Kimbra","Making Mirrors","1","3","245755","spotify:user:gianvitot","2019-02-27T21:56:09Z"
"spotify:track:4oTIuUmpE2xdXrpon9lgfJ","Heaven","Emeli Sandé","Our Version Of Events (Special Edition)","1","1","251946","spotify:user:gianvitot","2019-02-28T20:07:49Z"
"spotify:track:1FreAz1lmnDi5aKLB6GdFM","Where Is The Love?","Black Eyed Peas","Elephunk","1","13","272533","spotify:user:gianvitot","2019-03-06T21:57:15Z"
"spotify:track:0yJiIt4icur8txxfLRDJZK","You're Gorgeous","Babybird","Best of Babybird","1","1","222133","spotify:user:gianvitot","2019-03-15T10:46:25Z"
"spotify:track:6NPVjNh8Jhru9xOmyQigds","Happy","Pharrell Williams","Despicable Me 2 (Original Motion Picture Soundtrack)","1","4","233305","spotify:user:gianvitot","2019-03-15T10:47:06Z"
"spotify:track:1k1Bqnv2R0uJXQN4u6LKYt","Ain't No Sunshine","Bill Withers","Just As I Am","1","2","125093","spotify:user:gianvitot","2019-03-15T10:47:52Z"
"spotify:track:7Ewz6bJ97vUqk5HdkvguFQ","Heaven","Bryan Adams","Reckless (30th Anniversary / Deluxe Edition)","1","4","243360","spotify:user:gianvitot","2019-03-15T10:48:36Z"
"spotify:track:6uc03qm5fpp2NSlJgWAla2","Good Life","Kanye West, T-Pain","Graduation (UK Version)","1","5","207000","spotify:user:gianvitot","2019-03-18T18:57:02Z"
"spotify:track:4y6c5vMzKKM3KsMbHtjKx5","Stronger","Kanye West","Graduation (UK Version)","1","3","311866","spotify:user:gianvitot","2019-03-18T21:35:24Z"
"spotify:track:0yac0FPhLRH9i9lOng3f81","Everybody's Changing","Keane","Hopes And Fears","1","4","215880","spotify:user:gianvitot","2019-03-31T14:37:22Z"
"spotify:track:0IVHlst3XMgzXUJbIyZ8oO","Without You","Oh Wonder","Oh Wonder","1","8","224740","spotify:user:gianvitot","2019-03-31T16:43:44Z"
"spotify:track:6I9VzXrHxO9rA9A5euc8Ak","Toxic","Britney Spears","In The Zone","1","6","198800","spotify:user:gianvitot","2019-04-05T08:22:09Z"
"spotify:track:0N29z9eL37fF9A81bJuDuO","Iron Sky - Abbey Road Live Session","Paolo Nutini","Caustic Love (Live and In Session)","1","2","371620","spotify:user:gianvitot","2019-04-05T08:22:49Z"
"spotify:track:7Jh1bpe76CNTCgdgAdBw4Z","Heroes - 2017 Remaster","David Bowie",""Heroes" (2017 Remastered Version)","1","3","371413","spotify:user:gianvitot","2019-04-05T08:23:36Z"
"spotify:track:2RzJwBCXsS1VnjDm2jKKAa","I Believe I Can Fly","R. Kelly","R.","2","13","320666","spotify:user:gianvitot","2019-05-30T14:51:17Z"
"spotify:track:6Rg0AJvt1xa4hR2QH2fUhb","Sorriso (Milano Dateo)","Calcutta ","Sorriso (Milano Dateo)","1","1","177145","spotify:user:gianvitot","2019-06-09T12:19:05Z"
"spotify:track:6vrUTGn5p8IrfTZ0J6sIVM","Iris","The Goo Goo Dolls","Greatest Hits Volume One - The Singles","1","14","289906","spotify:user:gianvitot","2019-07-11T15:56:25Z"
"spotify:track:7rSERmjAT38lC5QhJ8hnQc","I'm Shipping Up To Boston","Dropkick Murphys","The Warrior's Code","1","11","153600","spotify:user:gianvitot","2019-07-24T10:07:43Z"
"spotify:track:2TIlqbIneP0ZY1O0EzYLlc","Someone You Loved","Lewis Capaldi","Breach","1","3","182160","spotify:user:gianvitot","2019-07-24T10:08:38Z"
"spotify:track:4RUoW6ewYFNsNzTbtvM99Y","I Belong to You (Il ritmo della passione)","Eros Ramazzotti, Anastacia","Calma Apparente","1","11","265600","spotify:user:gianvitot","2019-07-24T10:09:41Z"
"spotify:track:3xl7PsO7Hzuig6To9FgDm6","Left Outside Alone","Anastacia","Anastacia","1","2","257426","spotify:user:gianvitot","2019-07-24T10:10:08Z"
"spotify:track:0wwPcA6wtMf6HUMpIRdeP7","Hotline Bling","Drake","Views","1","20","267066","spotify:user:gianvitot","2019-07-24T10:10:45Z"
"spotify:track:4Dhx5eBxQbZwN5GJICCDzq","Rise Up","Yves Larock","Rise Up","1","1","168453","spotify:user:gianvitot","2019-07-24T10:12:06Z"
"spotify:track:79Scr6iQiMOJ8k2BJHGT2A","This Is Us","Mark Knopfler, Emmylou Harris","All The Roadrunning","1","3","275813","spotify:user:gianvitot","2019-07-24T10:12:49Z"
"spotify:track:4lHQCzdK3VdYQvQZnnRouG","Alone Again (Naturally)","Gilbert O'Sullivan","Back to Front (Deluxe Edition)","1","15","217728","spotify:user:gianvitot","2019-10-17T09:10:32Z"
"spotify:track:6JVGVkqRnOonDE4VQd1Qp9","Tutto quello che un uomo","Sergio Cammariere","Dalla pace del mare lontano","1","1","250253","spotify:user:gianvitot","2019-11-10T17:39:10Z"
"spotify:track:2avKuMN2QXkaG9vvHa2JLt","Take A Look Around","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","1","10","321040","spotify:user:gianvitot","2019-11-10T17:40:00Z"
"spotify:track:0COqiPhxzoWICwFCS4eZcp","Bring Me To Life","Evanescence","Fallen","1","2","235893","spotify:user:gianvitot","2019-11-10T17:40:18Z"
"spotify:track:5RvCpd2obakLvY1HFJOOYJ","Giudizi universali","Samuele Bersani","Samuele Bersani","1","1","235693","spotify:user:gianvitot","2019-11-10T17:46:38Z"
"spotify:track:3sTc75CCyIw4FPs6cXkOe7","Save Room","John Legend","Once Again","1","1","235666","spotify:user:gianvitot","2019-11-10T17:48:37Z"
"spotify:track:47beJVxmWulLY7eI8ulDb9","Cupid's Chokehold / Breakfast in America","Gym Class Heroes","00s Hits","1","51","236066","spotify:user:gianvitot","2019-11-10T17:53:01Z"
"spotify:track:7wZUrN8oemZfsEd1CGkbXE","Bleeding Love","Leona Lewis","Spirit","1","1","262466","spotify:user:gianvitot","2019-11-10T17:59:01Z"
"spotify:track:2LM2JJj3hQLCZRQFu1xu02","Non mi avrete mai","Inoki","Fabiano detto Inoki","1","16","232986","spotify:user:gianvitot","2019-11-10T18:02:52Z"
"spotify:track:3BcH252CGECgOWfKBjAaBC","It's A Man's, Man's, Man's World","James Brown","It's A New Day - Let A Man Come In","1","5","175853","spotify:user:gianvitot","2019-11-10T18:06:17Z"
"spotify:track:5zyrEv4F3FaLECI8TOKpFM","Nel Blu Dipinto Di Blu","Domenico Modugno","Nel Blu Dipinto Di Blu","1","1","219120","spotify:user:gianvitot","2019-11-10T18:07:14Z"
"spotify:track:57qOMZrbvnYyPRLodmnQk8","L'isola che non c'è","Edoardo Bennato","Sono Solo Canzonette","1","5","240506","spotify:user:gianvitot","2019-11-10T18:07:40Z"
"spotify:track:1KZyVnyptQcPzkx7ELCnZC","Hold Back The River","James Bay","Chaos And The Calm","1","2","238746","spotify:user:gianvitot","2019-11-10T18:08:30Z"
"spotify:track:7GJClzimvMSghjcrKxuf1M","Budapest","George Ezra","Wanted on Voyage","1","2","200720","spotify:user:gianvitot","2019-11-10T18:08:52Z"
"spotify:track:4EsU1itX1LEPptKwjhGbVl","Oggi Sono Io","Alex Britti","it.pop","1","12","228986","spotify:user:gianvitot","2019-11-10T18:11:02Z"
"spotify:track:6P7CGwIMruLWna0QvN14DB","Fotoricordo","Gemelli Diversi","Reality Show","1","14","237306","spotify:user:gianvitot","2019-11-10T18:11:44Z"
"spotify:track:7e124Ufisf2zAHIoEiUwjq","Sangue di drago","Rancore","Musica per bambini","1","5","329080","spotify:user:gianvitot","2019-11-10T18:13:25Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","The Kooks","Inside In / Inside Out","1","9","203506","spotify:user:gianvitot","2019-11-10T18:14:17Z"
"spotify:track:38zsOOcu31XbbYj9BIPUF1","Your Song","Elton John","Elton John","1","1","241786","spotify:user:gianvitot","2019-11-10T18:16:28Z"
"spotify:track:5rb9QrpfcKFHM1EUbSIurX","Yeah! (feat. Lil Jon & Ludacris)","Usher, Lil Jon, Ludacris","Confessions (Expanded Edition)","1","2","250373","spotify:user:gianvitot","2019-11-10T18:18:33Z"
"spotify:track:4RL77hMWUq35NYnPLXBpih","Skinny Love","Birdy","Birdy","1","2","201080","spotify:user:gianvitot","2019-11-10T18:19:36Z"
"spotify:track:4dyx5SzxPPaD8xQIid5Wjj","Young Folks","Peter Bjorn and John","Writer's Block","1","3","276693","spotify:user:gianvitot","2019-11-10T18:21:45Z"
"spotify:track:4kP69y3GKHi9tXckfgp4bK","For Once In My Life","Stevie Wonder","For Once In My Life","1","1","169800","spotify:user:gianvitot","2019-11-10T18:22:07Z"
"spotify:track:6OtCIsQZ64Vs1EbzztvAv4","Good Life","OneRepublic","Waking Up","1","6","253306","spotify:user:gianvitot","2019-11-10T18:24:48Z"
"spotify:track:7sapKrjDij2fpDVj0GxP66","She Will Be Loved","Maroon 5","Songs About Jane","1","4","257133","spotify:user:gianvitot","2019-11-10T18:26:40Z"
"spotify:track:6SXy02aTZU3ysoGUixYCz0","Maybe Tomorrow","Stereophonics","You Gotta Go There To Come Back","1","2","272946","spotify:user:gianvitot","2019-11-10T18:28:14Z"
"spotify:track:3dZa4cqfnAOm154H601RbY","Aerial Boundaries","Michael Hedges","Aerial Boundaries","1","1","280893","spotify:user:gianvitot","2019-11-10T18:29:25Z"
"spotify:track:225xvV8r1yKMHErSWivnow","I Don't Want to Miss a Thing - From "Armageddon" Soundtrack","Aerosmith","Armageddon - The Album","1","1","298760","spotify:user:gianvitot","2019-11-10T18:30:44Z"
"spotify:track:08Vij9GYqUjyAgSvcJxWW6","Chariot","Gavin DeGraw","Finest Hour: The Best of Gavin DeGraw","1","5","240560","spotify:user:gianvitot","2019-11-10T18:31:00Z"
"spotify:track:0gmbgwZ8iqyMPmXefof8Yf","How You Remind Me","Nickelback","Silver Side Up","1","2","223840","spotify:user:gianvitot","2019-11-10T18:31:33Z"
"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","In the End","Linkin Park","Hybrid Theory (Bonus Edition)","1","8","216880","spotify:user:gianvitot","2019-11-10T18:34:04Z"
"spotify:track:7MMJa7cjMadOSR6CFWvB1x","La musica non c'è","Coez","Faccio un casino","1","6","222786","spotify:user:gianvitot","2019-11-10T18:47:48Z"
"spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l","It's My Life","Bon Jovi","Crush","1","1","224493","spotify:user:gianvitot","2019-11-10T18:51:48Z"
"spotify:track:6JRLFiX9NJSoRRKxowlBYr","Is This Love","Bob Marley & The Wailers","Kaya","1","3","232200","spotify:user:gianvitot","2019-11-10T18:53:53Z"
"spotify:track:61dCUoMCg28qEBzrW6htYM","Rather Be (feat. Jess Glynne)","Clean Bandit, Jess Glynne","New Eyes","1","4","227833","spotify:user:gianvitot","2019-11-10T18:54:52Z"
"spotify:track:3B7udSGy2PfgoCniMSb523","I See Fire - From "The Hobbit - The Desolation Of Smaug"","Ed Sheeran","The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition)","1","28","300840","spotify:user:gianvitot","2019-11-10T18:57:48Z"
"spotify:track:4DSiwBbHVEQV0pb7vWPPkZ","You You You","James Kakande","My Little Red Bag","1","12","242453","spotify:user:gianvitot","2019-11-12T12:52:15Z"
"spotify:track:79RUMZfMNMpqZnswovvTqv","Wonderwall","Oasis","(What's the Story) Morning Glory?","1","3","258906","spotify:user:gianvitot","2019-11-17T13:54:19Z"
"spotify:track:6HSXNV0b4M4cLJ7ljgVVeh","Knockin' On Heaven's Door","Bob Dylan","Pat Garrett & Billy The Kid [Soundtrack From The Motion Picture) (Remastered]","1","7","149880","spotify:user:gianvitot","2019-12-01T14:29:10Z"
